MCMCU;MCSTYL;MCDL01;MCRP01;MCRP02
00060508;09;AC LUIZ NEY DE OLIVEIRA;03;OPE
00060507;09;AC CAMPINAS;03;OPE
00050311;09;AC SANTA CLARA;34;OPE
00424874;09;AC BOA ESPERANCA DO IGUACU;36;OPE
00038377;27;ACC PARQUE DOS CAMARGOS;72;OPE
00038123;09;AC VILA MATHIAS;72;OPE
00031642;25;ACC I PLANALTO PAULISTA;72;OPE
00039684;27;ACC COMPSET;03;OPE
00042957;27;ACC LESTE OESTE;12;OPE
00020136;03;ACOMPANHAMENTO DA GESTAO;64;ADM
00028022;16;ACF VILA SEIXAS;74;OPE
00028100;16;ACF VISTA ALEGRE;74;OPE
00028072;16;ACF TERRA DO SOL;74;OPE
00028073;16;ACF VILA TIBERIO;74;OPE
00027950;16;ACF DIVISA;74;OPE
00027945;16;ACF ASA SUL;74;OPE
00052623;09;ACC I PORTO VALTER;26;OPE
00052444;09;AC CANAVIEIRA;34;OPE
00052627;09;ACC I MARECHAL THAUMATURGO;26;OPE
00053522;09;AC CIDADE VERDE;34;OPE
00059588;09;AC INDUSTRIAL BOA VISTA;36;OPE
00059589;09;AC SHOPPING CONQUISTA SUL;08;OPE
00058822;09;AC GUAICURUS;22;OPE
00058669;09;AC JARACATI SHOPPING;18;OPE
00058917;09;AC SAO JOAO DA PONTA;28;OPE
00058808;09;AC INDUSTRIAL DE PONTA GROSSA;36;OPE
00059780;09;AC PESCADOR;20;OPE
00059338;09;AC SANTA CRUZ DO XINGU;24;OPE
00028074;16;ACF VILA VIRGINIA;74;OPE
00028075;16;ACF TERRA DA SAUDADE;74;OPE
00028076;16;ACF CAPITAL DO BORDADO;74;OPE
00028017;16;ACF ANTONIO PRADO;74;OPE
00028019;16;ACF LAGO AZUL;74;OPE
00028010;16;ACF CARLOS BOTELHO;74;OPE
00028091;16;ACF LAVRADORES;74;OPE
00028092;16;ACF PORTAL DAS AGUAS;74;OPE
00028093;16;ACF NOVA JUNDIAI;74;OPE
00027940;16;ACF ALEM PONTE;74;OPE
00027911;16;ACF CAMBUI;74;OPE
00027913;16;ACF PROENCA;74;OPE
00027914;16;ACF DUNLOP;74;OPE
00027901;16;ACF JARDIM INDEPENDENCIA;74;OPE
00052447;09;AC PRAIA DE JERICOACOARA;12;OPE
00052612;09;ACC I EPITACIOLANDIA;26;OPE
00028040;16;ACF BELVEDERE;74;OPE
00052323;09;AC FARTURA DO PIAUI;34;OPE
00052615;09;ACC I PORTO ACRE;26;OPE
00052317;09;AC TAMBORIL DO PIAUI;34;OPE
00052598;09;ACC I JORDAO;26;OPE
00059776;09;AC VARGEM GRANDE DO RIO PARDO;20;OPE
00060636;09;AC PIQUIRI;22;OPE
00060170;09;AC NOVA VILHENA;26;OPE
00060559;09;AC PARELHEIROS;72;OPE
00060265;09;AC VIA SHOPPING BARREIRO;20;OPE
00059788;09;AC ALVARENGA;20;OPE
00028064;16;ACF SAO JOAO;74;OPE
00028065;16;ACF JOAO PESSOA;74;OPE
00028066;16;ACF FERREIRA BRAGA;74;OPE
00028067;16;ACF JOAO PIRES;74;OPE
00028068;16;ACF CERVEZON;74;OPE
00028069;16;ACF PARQUE CIDADE NOVA;74;OPE
00028008;16;ACF MONTE CASTELO;74;OPE
00027317;09;AC POMPEIA;74;OPE
00027318;09;AC BARBOSA;74;OPE
00027559;09;AC IGARAPAVA;74;OPE
00027550;09;AC JABORANDI;74;OPE
00027541;09;AC BATATAIS;74;OPE
00027542;09;AC BORBOREMA;74;OPE
00027593;09;AC SAO JOAQUIM DA BARRA;74;OPE
00027594;09;AC BONFIM PAULISTA;74;OPE
00060627;09;AC TANGARA SHOPPING;24;OPE
00060267;09;AC FERNANDES TOURINHO;20;OPE
00028094;16;ACF SAO MIGUEL;74;OPE
00028095;16;ACF SHOPPING CENTER SALTO;74;OPE
00028096;16;ACF ZANAGA;74;OPE
00028097;16;ACF VINTE E NOVE DE AGOSTO;74;OPE
00028098;16;ACF AIMORES;74;OPE
00028060;16;ACF SUL CONTINENTAL;74;OPE
00027627;09;AC VILA MONTE ALEGRE;74;OPE
00027628;09;AC SANTA ADELIA;74;OPE
00027595;09;AC GUATAPARA;74;OPE
00027596;09;AC SAO SIMAO;74;OPE
00056208;09;AC MERCES;36;OPE
00028099;16;ACF CIDADE CORACAO;74;OPE
00028090;16;ACF AMAZONAS;74;OPE
00028081;16;ACF JUSSARA;74;OPE
00028082;16;ACF SAO LUIZ;74;OPE
00028083;16;ACF VILA INDUSTRIAL;74;OPE
